Machine,RL,Type,Yield,Area
Hiseq2500_Rapid,91,PE,70128.661,武汉
Hiseq2500_Rapid,91,SE,25501.289999999997,武汉
Hiseq2500_Rapid,101,PE,79006.88199999998,武汉
Hiseq2500_Rapid,151,PE,116371.2895,武汉
Hiseq2500_Rapid,251,PE,131367.144,武汉
Hiseq4000,26,PE,354647.375,武汉
Hiseq4000,50,PE,323940.23,武汉
Hiseq4000,50,SE,156716.004,武汉
Hiseq4000,101,PE,636606.179,武汉
Hiseq4000,151,PE,953196.2925,武汉
